"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"","","","",1,"","Asset"
"","","","",1,"","Liability"
"","","","",1,"","Expense"
"","","","",1,"","Income"
"","","","",1,"","Equity"
"","","","",1,"Bank","Asset"
"","","","",1,"Cash","Asset"
"","","","",1,"Stock","Asset"
"","","","",0,"Cost of Goods Sold","Expense"
"","","","",0,"Depreciation","Expense"
"","","","",0,"Fixed Asset","Asset"
"","","","",0,"Payable","Liability"
"","","","",0,"Receivable","Asset"
"","","","",0,"Stock Adjustment","Expense"
"","","","",0,"Bank","Asset"
"","","","",0,"Cash","Asset"
"","","","",0,"Stock","Asset"
